item_id,title,genres,directors,cast,vote_average,vote_count,popularity,is_trending,overview,language,imdb_id,tmdb_id,movielens_id,language_code,region,release_date,year
533991,Stree,Horror|Comedy,Amar Kaushik,Rajkummar Rao|Shraddha Kapoor|Aparshakti Khurana|Abhishek Banerjee|Pankaj Tripathi,6.9,161,3.5645,0,"Set in the town of Chanderi, Stree is based on the urban legend of Nale Ba that went viral in Karnataka in the 1990s, and features Shraddha Kapoor and Rajkummar Rao in pivotal roles.",Hindi,tt8108202,533991,,hi,India,2018-08-31,2018
61202,Zindagi Na Milegi Dobara,Drama|Comedy|Romance,Zoya Akhtar,Hrithik Roshan|Abhay Deol|Farhan Akhtar|Katrina Kaif|Kalki Koechlin,7.6,365,3.5256,0,"Three friends who were inseparable in childhood decide to go on a three-week-long bachelor road trip to Spain, in order to re-establish their bond and explore thrilling adventures, before one of them gets married. What will they learn of themselves and each other during the adventure?",Hindi,tt1562872,61202,,hi,India,2011-07-15,2011
4251,Veer-Zaara,Drama|Romance,Yash Chopra,Shah Rukh Khan|Preity Zinta|Rani Mukerji|Amitabh Bachchan|Hema Malini,7.4,276,3.4858,0,"Squadron Leader Veer Pratap Singh, a pilot in the Indian Air Force, rescues the stranded Zaara, a woman from Pakistan, following a bus accident, and their lives are forever bound.",Hindi,tt0420332,4251,,hi,India,2004-11-12,2004
1136736,Lust Stories 2,Drama|Romance,Konkona Sen Sharma|Sujoy Ghosh|Amit Sharma|R. Balki,Neena Gupta|Mrunal Thakur|Tamannaah Bhatia|Kajol|Angad Bedi,5.7,43,3.4787,0,"Four eminent Indian directors explore sex, desire and love through short films in this sequel to 2018's Emmy-nominated 'Lust Stories'.",Hindi,tt27989067,1136736,,hi,India,2023-06-29,2023
601337,83,Drama|History,Kabir Khan,Ranveer Singh|Pankaj Tripathi|Tahir Raj Bhasin|Jiiva|Saqib Saleem,7.2,56,3.4565,0,"On the 25th of June 1983, the Lord’s Cricket Ground witnessed one of the biggest underdog stories in the history of sports. Fourteen inspired players - led by a man's self-belief and conviction - fought against all odds and orchestrated India’s greatest sporting triumph by beating the two-time World Champions West Indies.",Hindi,tt7518786,601337,,hi,India,2021-12-23,2021
432527,Padmaavat,Drama|History|Romance,Sanjay Leela Bhansali,Deepika Padukone|Ranveer Singh|Shahid Kapoor|Jim Sarbh|Aayam Mehta,6.95,282,3.4527,0,"Rajputana, India, 13th century. The tyrannical usurper Alauddin Khilji, sultan of Delhi, becomes obsessed with Queen Padmavati, wife of King Ratan Singh of Mewar, and goes to great lengths to satisfy his greed for her.",Hindi,tt5935704,432527,,hi,India,2018-01-25,2018
599925,Shershaah,Action|Drama|Thriller|War,Vishnu Varadhan,Sidharth Malhotra|Kiara Advani|Shataf Figar|Shiv Panditt|Nikitin Dheer,7.276,98,3.4316,0,"Inspired by the life of Captain Vikram Batra (PVC), the film celebrates his bravery, valiant spirit and honors his invaluable sacrifice during the Kargil War of 1999, at the age of 24.",Hindi,tt10295212,599925,,hi,India,2021-08-12,2021
498448,Kesari,Action|Drama|History|War,Anurag Singh,Akshay Kumar|Parineeti Chopra|Mir Sarwar|Ashwath Bhatt|'Om' Rakesh Chaturvedi,7.085,106,3.4179,0,"In 1897, an army of 21 Sikhs battles 10,000 Afghans to prevent the Saragarhi Fort from being taken down.",Hindi,tt6264938,498448,,hi,India,2019-03-21,2019
14072,Rab Ne Bana Di Jodi,Comedy|Drama|Romance,Aditya Chopra,Shah Rukh Khan|Vinay Pathak|Anushka Sharma|M. K. Raina|Manmeet Singh,7.1,289,3.379,0,"A lonely 40-ish man, likely to remain a bachelor, has a chance to find the love of his life when he falls for a vivacious young woman.",Hindi,tt1182937,14072,,hi,India,2008-12-11,2008
1014214,Singham Again,Action|Drama|Thriller|Crime,Rohit Shetty,Ajay Devgn|Akshay Kumar|Ranveer Singh|Tiger Shroff|Kareena Kapoor Khan,4.4,25,3.2887,0,The cop universe expands with newer additions while the old ones return led by Bajirao Singham. Singham Again interweaves the mythological epic Ramayana's good vs evil narrative when his wife Avni Kamath gets abducted by Danger Lanka setting Bajirao and his gang of Sangram Bhalerao and Veer Sooryavanshi along with Satya and Shakti Shetty on a mission to rescue her.,Hindi,tt11976134,1014214,,hi,India,2024-11-01,2024
734253,Adipurush,History|Action|Adventure|Fantasy,Om Raut,Prabhas|Saif Ali Khan|Kriti Sanon|Sunny Singh|Devdatta Nage,4.9,93,3.2768,0,"7000 years ago, Ayodhya's Prince Raghava and Prince Sesh along with the Mighty Vanar Warriors travels to the island of Lanka with an aim to rescue Raghava's wife Janaki, who has been abducted by Lankesh, the king of Lanka.",Hindi,tt12915716,734253,,hi,India,2023-06-16,2023
1187058,Munjya,Comedy|Horror,Aditya Sarpotdar,Abhay Verma|Sharvari Wagh|Ayush Ulagadde|Mona Singh|Suhas Joshi,5.9,24,3.2431,0,"A young man's visit to his native village unveils a family secret and a vengeful spirit, Munjya, who wants to get married. Now the young man must fight to protect himself and his love from Munjya's clutches leading to a humorously chaotic and terrifying adventure.",Hindi,tt27995594,1187058,,hi,India,2024-06-07,2024
67605,Naseeb,Drama,Manmohan Desai,Amitabh Bachchan|Shatrughan Sinha|Rishi Kapoor|Hema Malini|Reena Roy,7.1,13,3.2311,0,"Naseeb, a story of destiny and fate, begins with a lottery ticket. A drunk who cannot pay his restaurant bill trades his recently purchased ticket with a waiter. Naseeb becomes a poignant story about love, friendship, sacrifice, deceit, revenge and above all, destiny.",Hindi,tt0082797,67605,,hi,India,1981-05-01,1981
8079,Om Shanti Om,Comedy|Thriller|Drama,Farah Khan,Shah Rukh Khan|Deepika Padukone|Arjun Rampal|Shreyas Talpade|Kirron Kher,7.1,363,3.212,0,"Reincarnated 30 years after being killed in a suspicious on-set fire, a small-time actor is determined to punish the person who ignited the blaze.",Hindi,tt1024943,8079,,hi,India,2007-11-07,2007
4254,Kal Ho Naa Ho,Comedy|Drama|Romance,Nikkhil Advani,Shah Rukh Khan|Preity Zinta|Saif Ali Khan|Jaya Bachchan|Sonali Bendre,7.4,410,3.1994,0,An uptight MBA student falls for the charismatic new neighbor who charms her troubled family – but he has a secret that forces him to push her away.,Hindi,tt0347304,4254,,hi,India,2003-11-27,2003
679844,Radhe,Action|Adventure|Crime|Thriller,Prabhu Deva,Salman Khan|Disha Patani|Randeep Hooda|Jackie Shroff|Megha Akash,4.1,60,3.1825,0,"As Mumbai’s youth are falling prey to rampant drug abuse, suspended cop Radhe is recalled for a clean-up mission. But Radhe is up against a dangerous new outlaw Rana, who will stop at nothing to rule the city.",Hindi,tt10888594,679844,,hi,India,2021-05-12,2021
26022,My Name Is Khan,Drama|Romance,Karan Johar,Shah Rukh Khan|Kajol|Arjan Aujla|Jimmy Shergill|Sonya Jehan,8.035,1352,3.1237,0,"Rizwan Khan, a Muslim from the Borivali section of Mumbai, has Asperger's syndrome. He marries a Hindu single mother, Mandira, in San Francisco. After 9/11, Rizwan is detained by authorities at LAX who treat him as a terrorist because of his condition and his race.",Hindi,tt1188996,26022,,hi,India,2010-02-10,2010
